,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
0,55.2,16.98,3019.53,557.434,395.713,10.0664,1.74,249.21400000000003,253.235,250.576,295.096,306.4,250.225,250.88400000000001,457.39599999999996,432.962,424.954,443.55800000000005,502.255,446.37,523.344,66.91,1.31
1,55.2,16.98,3208.3,544.922,397.529,10.1584,1.6680700000000002,250.115,252.07,248.148,295.096,306.4,250.488,251.59799999999998,468.35699999999997,493.62300000000005,442.7,445.156,434.102,451.634,470.26599999999996,67.06,1.11
2,55.2,16.98,3414.06,566.437,402.129,10.0883,1.7042700000000002,248.96099999999998,249.06,249.247,295.096,306.4,250.104,248.52200000000002,457.64599999999996,453.43300000000005,434.796,455.723,468.934,483.44199999999995,497.82300000000004,67.06,1.11
3,55.2,16.98,3341.8,586.3340000000001,398.61300000000006,9.959389999999999,1.73091,248.555,246.204,251.576,295.096,306.4,245.41299999999998,248.39,443.23199999999997,496.283,458.485,458.34,453.403,443.934,422.036,66.97,1.27
4,55.2,16.98,3134.77,611.572,401.66,9.84375,1.74964,250.488,252.905,252.46599999999998,295.096,306.4,244.775,248.95,535.0219999999999,572.07,547.1,563.67,551.33,530.94,540.72,66.75,1.36
5,55.2,16.98,3218.55,617.31,405.996,9.709439999999999,1.7651,249.43400000000003,250.313,249.34599999999998,295.096,306.4,250.313,248.774,565.352,557.232,553.904,559.062,538.6619999999999,539.556,521.74,66.63,1.34
6,55.2,16.98,3268.75,618.073,403.184,10.0492,1.7654,248.368,248.632,250.225,295.096,306.4,249.983,249.082,552.464,553.634,543.701,546.932,548.91,588.987,570.24,66.85,1.15
7,54.95,17.4,3262.7,618.896,404.663,10.2137,1.76,251.488,249.5,250.928,295.096,306.4,249.58700000000002,249.521,534.146,542.96,546.052,564.313,550.945,584.14,543.154,65.76,2.76
8,54.95,17.4,3559.18,567.078,393.721,10.1448,1.7659599999999998,248.90599999999998,249.43400000000003,249.368,295.096,306.4,250.422,249.653,566.553,562.217,542.139,531.445,556.344,593.775,565.111,65.89,2.65
9,54.95,17.4,3975.49,595.276,397.163,9.88727,1.76,248.544,249.489,250.99400000000003,295.096,306.4,248.412,249.02700000000002,565.808,543.409,522.1,547.307,495.76099999999997,533.404,525.688,66.68,1.73
10,54.95,17.4,3798.83,567.505,403.022,10.1686,1.76,248.752,252.543,249.521,295.096,306.4,251.829,253.048,530.918,544.257,556.982,535.375,524.615,542.5319999999999,527.617,66.52,1.81
11,54.95,17.4,4250.0,457.397,398.086,10.14,1.78,249.43400000000003,247.5,251.06,295.096,306.4,254.487,251.763,547.034,566.4019999999999,545.808,571.094,549.682,583.804,560.5880000000001,65.55,2.83
12,54.95,17.4,4429.1,550.903,397.969,10.084,1.7771099999999997,248.81799999999998,246.797,248.071,295.096,306.4,249.653,250.66400000000002,562.048,547.146,557.354,553.2819999999999,580.634,584.812,559.484,65.55,2.83
13,54.95,17.4,4235.35,546.265,404.004,10.3658,1.76262,251.80700000000002,255.10299999999998,250.488,295.096,306.4,250.269,248.95,566.052,575.47,574.08,567.58,651.57,578.54,556.17,66.74,1.5
14,54.95,17.4,4273.24,547.485,394.849,10.3735,1.78,252.576,251.202,246.47799999999998,295.096,306.4,249.609,249.66400000000002,558.044,557.34,561.805,552.345,611.092,514.27,561.415,66.26,1.94
15,54.95,17.4,5300.29,519.318,410.83,10.25,1.78205,248.555,245.797,251.59799999999998,295.096,306.4,250.46599999999998,251.104,565.6519999999999,535.307,570.328,559.028,545.628,534.244,514.461,67.6,1.09
16,55.99,17.16,5265.63,492.615,410.77099999999996,10.402000000000001,1.78,251.41099999999997,249.543,249.873,295.096,306.4,249.80700000000002,251.082,555.342,546.246,551.637,540.974,550.34,532.116,556.78,67.3,1.51
17,55.99,17.16,5730.47,559.235,406.12800000000004,10.3285,1.76,249.71900000000002,251.917,248.73,295.096,306.4,250.15900000000002,250.433,542.404,544.315,544.545,555.075,556.015,546.62,535.4830000000001,66.3,1.96
18,55.99,17.16,5261.04,532.745,402.759,10.2732,1.7511900000000002,248.12599999999998,252.356,250.247,295.096,306.4,249.708,249.412,568.104,554.625,544.95,551.487,545.88,531.887,516.971,66.21,3.57
